,Year,SA2_codes,pred_rent,pred_crime_count,pred_income_prsnl,pred_income_fam,pred_income_hhd,pred_pop
375,2023,215021469,276.0,941.3662064431289,716.1999999999971,1580.3999999999942,1304.0,16366.0
376,2023,215021470,320.0,941.3662064431289,755.0,1949.6000000000058,1535.0,14982.800000000047
377,2023,215031402,213.83333333333394,941.3662064431289,610.1999999999971,1502.4666666666744,1067.199999999997,3713.9000000000015
378,2023,215031403,231.33333333333394,941.3662064431289,658.5,1551.4666666666744,1426.8666666666686,3522.3666666666613
379,2023,215031404,247.16666666666606,941.3662064431289,794.1999999999971,1913.4333333333489,1478.199999999997,10186.066666666651
380,2023,216011406,304.5,941.3662064431289,752.1333333333387,1851.7333333333227,1431.5,14446.900000000023
381,2023,216011407,220.0,941.3662064431289,691.5333333333328,1697.3999999999942,1309.300000000003,10078.0
382,2023,216011408,218.33333333333212,941.3662064431289,765.0,1834.7333333333227,1543.6333333333314,3670.9666666666744
383,2023,216011409,225.4333333333343,941.3662064431289,631.0,1591.4666666666744,1208.5,3826.6666666666715
384,2023,216011410,212.5,941.3662064431289,602.1666666666642,1477.5666666666657,1130.4666666666672,4022.1666666666642
385,2023,216021411,262.66666666666606,941.3662064431289,639.1333333333387,1566.8999999999942,1121.5,6123.0
386,2023,216021412,230.33333333333212,941.3662064431289,697.8333333333358,1690.9333333333343,1449.7333333333227,2660.6666666666715
387,2023,216021413,220.33333333333394,941.3662064431289,675.5999999999985,1692.9333333333343,1327.6000000000058,11623.566666666651
388,2023,216021414,310.0,941.3662064431289,658.0,1542.2666666666773,1211.3333333333285,8271.366666666698
389,2023,216031415,260.83333333333394,941.3662064431289,664.2000000000007,1531.800000000003,1179.4333333333343,7946.0
390,2023,216031416,286.0,941.3662064431289,821.0333333333328,2057.766666666663,1646.4666666666744,18029.633333333302
391,2023,216031418,248.8666666666686,941.3662064431289,805.9000000000015,2078.5333333333256,1707.5666666666657,3606.3333333333358
392,2023,216031419,256.0,941.3662064431289,737.0666666666657,1887.8999999999942,1458.0666666666657,9937.566666666651
393,2023,217011421,249.0,941.3662064431289,719.6999999999971,1723.3333333333285,1302.4666666666744,9323.100000000006
394,2023,217011422,259.0,941.3662064431289,654.0333333333328,1601.5,1249.0,10443.366666666669
395,2023,217031471,256.0,941.3662064431289,678.5999999999985,1659.3999999999942,1212.199999999997,3201.7999999999993
396,2023,217031472,278.0,941.3662064431289,750.5999999999985,1821.800000000003,1328.0,11385.199999999997
397,2023,217031473,280.0,941.3662064431289,791.5999999999985,2057.7999999999884,1557.3999999999942,5188.200000000012
398,2023,217031474,220.0,941.3662064431289,727.4000000000015,1773.2000000000116,1258.6000000000058,4960.200000000003
399,2023,217031475,263.40000000000146,941.3662064431289,795.5999999999985,1919.0,1509.6000000000058,6557.0
400,2023,217031476,301.0,941.3662064431289,731.8000000000029,1648.800000000003,1259.3999999999942,4130.600000000006
401,2023,217041477,220.0,941.3662064431289,831.4000000000015,2074.2000000000116,1634.199999999997,6288.200000000012
402,2023,217041478,302.7999999999993,941.3662064431289,814.4000000000015,2087.399999999994,1644.0,9087.0
403,2023,217041479,320.0,941.3662064431289,814.0,2044.7999999999884,1547.3999999999942,19777.20000000001
404,2023,217041480,301.7999999999993,941.3662064431289,821.4000000000015,2059.399999999994,1474.3999999999942,12169.8
405,2024,201011001,406.0,968.2882971729115,930.1333333333314,2369.6666666666715,2084.9333333333198,15135.666666666744
406,2024,201011002,334.0666666666657,968.2882971729115,909.2666666666628,2467.733333333337,1702.4000000000087,11175.333333333336
407,2024,201011005,357.33333333333394,968.2882971729115,877.2000000000044,2455.5999999999913,2071.0666666666802,6304.199999999997
408,2024,201011006,405.0666666666657,968.2882971729115,836.3333333333358,2005.4666666666744,1768.1333333333314,9881.599999999977
409,2024,201011007,363.3333333333321,968.2882971729115,859.6666666666642,2447.5333333333256,2245.933333333349,3579.5999999999913
410,2024,201011008,284.9333333333361,968.2882971729115,683.6666666666642,1640.5999999999913,1279.9333333333198,13819.333333333343
411,2024,201021009,373.3333333333321,968.2882971729115,838.4666666666599,2243.666666666657,1889.8666666666686,6061.8000000000175
412,2024,201021010,277.6666666666679,968.2882971729115,673.9333333333343,1755.1333333333314,1324.199999999997,7772.1999999999825
413,2024,201021011,369.3333333333321,968.2882971729115,765.4000000000015,1960.9333333333489,1467.800000000003,10051.266666666721
414,2024,201021012,299.3333333333321,968.2882971729115,831.2666666666628,2308.4666666666744,1965.2666666666628,5881.466666666674
415,2024,201031013,216.0,968.2882971729115,561.6000000000022,1405.3333333333285,1065.9333333333343,3485.199999999997
416,2024,201031014,241.39999999999782,968.2882971729115,685.7333333333372,1720.7333333333372,1306.5999999999913,5123.066666666651
417,2024,201031015,289.3333333333321,968.2882971729115,717.5999999999985,1919.4000000000087,1576.1333333333314,4552.066666666651
418,2024,201031016,264.0,968.2882971729115,551.2000000000007,1314.0666666666802,935.5333333333401,7802.266666666663
419,2024,201031017,219.33333333333394,968.2882971729115,534.0666666666657,1429.4000000000087,1017.4666666666599,5505.466666666674
420,2024,202011018,306.3333333333321,968.2882971729115,773.4000000000015,1803.2666666666628,1373.8666666666686,14152.333333333343
421,2024,202011019,317.3333333333321,968.2882971729115,716.1333333333314,1673.6666666666715,1334.4000000000087,12247.799999999988
422,2024,202011020,316.66666666666606,968.2882971729115,807.7333333333372,2056.199999999997,1490.8666666666686,12700.733333333337
