,index,name,cost_text,Bed,Bath,Park,property_type,desc_head,LocID
81,https://www.domain.com.au/1-125-high-st-prahran-vic-3181-15340091,1/125 High St Prahran VIC 3181,1799.0,3,3,1,Apartment / Unit / Flat,featur popular realiti seri block avail week minimum month,206061136
82,https://www.domain.com.au/12-gurner-street-st-kilda-vic-3182-16000740,12 Gurner Street St Kilda VIC 3182,1750.0,4,2,0,House,st showstopp,206051514
83,https://www.domain.com.au/22-ethel-street-malvern-vic-3144-16026921,22 Ethel Street Malvern VIC 3144,1750.0,6,4,3,House,modern famili live outdoor balanc,208041194
84,https://www.domain.com.au/140-dendy-street-brighton-east-vic-3187-16006734,140 Dendy Street Brighton East VIC 3187,1750.0,5,3,2,House,magnific famili home flexibl live option,208011170
85,https://www.domain.com.au/15c-alfred-street-balaclava-vic-3183-15045825,15C Alfred Street Balaclava VIC 3183,1731.0,5,1,2,House,enorm hous heart balaclava amaz valu suit group,206051134
86,https://www.domain.com.au/penthouse-469-riversdale-road-hawthorn-east-vic-3123-15925871,Penthouse/469 Riversdale Road Hawthorn East VIC 3123,1700.0,4,2,1,Apartment / Unit / Flat,brand new penthous degre view,207011152
87,https://www.domain.com.au/14-mackie-grove-brighton-east-vic-3187-16056520,14 Mackie Grove Brighton East VIC 3187,1700.0,3,3,2,House,polish gem wonder east famili home,208011170
88,https://www.domain.com.au/167-richardson-street-middle-park-vic-3206-16073349,167 Richardson Street Middle Park VIC 3206,1700.0,3,2,1,House,attract newli renov home ideal locat,206051128
89,https://www.domain.com.au/238b-were-street-brighton-east-vic-3187-16047072,238B Were Street Brighton East VIC 3187,1700.0,5,3,2,Townhouse,luxuri finest golf cours view,208011170
90,https://www.domain.com.au/76-millswyn-street-south-yarra-vic-3141-15880809,76 Millswyn Street South Yarra VIC 3141,1700.0,2,1,0,House,except live premium posit,206041125
91,https://www.domain.com.au/19-moule-avenue-brighton-vic-3186-15981059,19 Moule Avenue Brighton VIC 3186,1695.0,5,4,2,House,grand entertain golden mile,208011169
92,https://www.domain.com.au/4-newbay-crescent-brighton-vic-3186-16001646,4 Newbay Crescent Brighton VIC 3186,1690.0,3,2,2,House,famili home blue chip address,208011169
93,https://www.domain.com.au/25-holroyd-avenue-st-kilda-east-vic-3183-16059289,25 Holroyd Avenue St Kilda East VIC 3183,1650.0,4,2,0,House,pictur perfect creatur comfort,206051134
94,https://www.domain.com.au/18-156-bay-street-port-melbourne-vic-3207-16077726,18/156 Bay Street Port Melbourne VIC 3207,1650.0,3,2,2,Apartment / Unit / Flat,villag penthous live,206051130
