Year,SA2_codes,Postcode,Offence Count
2014,211011446,3155,832
2014,211011447,3156,917
2014,211011449,3154,96
2014,211021261,3111,134
2014,211021261,3114,86
2014,211031266,3134,1535
2014,211031267,3135,494
2014,211031450,3136,1096
2014,211041269,3131,312
2014,211041270,3132,236
2014,211041272,3133,281
2014,211051277,3137,270
2014,211051278,3140,636
2014,211051280,3765,150
2014,211051281,3138,537
2014,211051283,3796,204
2014,211051284,3158,155
2014,212021293,3806,1029
2014,212021295,3177,546
2014,212021297,3803,577
2014,212021299,3804,120
2014,212021454,3802,878
2014,212021456,3805,1432
2014,212031300,3977,2116
2014,212031306,3975,272
2014,212031562,3976,656
2014,212041309,3167,380
2014,212041310,3169,474
2014,212041317,3171,1065
2014,212041318,3172,645
2014,212041460,3174,1408
2014,212041563,3175,3571
2014,212041565,3173,767
2014,212051319,3147,417
2014,212051319,3148,311
2014,212051322,3150,680
2014,212051324,3149,244
2014,212051325,3170,370
2014,212051326,3166,639
2014,212051567,3168,620
2014,213011328,3020,3154
2014,213011328,3022,273
2014,213011331,3037,981
2014,213011332,3038,550
2014,213011334,3021,2212
2014,213011569,3023,1885
2014,213011570,3026,309
2014,213021341,3018,453
2014,213021343,3025,312
2014,213021344,3015,444
2014,213021346,3016,604
2014,213031347,3019,478
2014,213031348,3011,1410
2014,213031349,3032,1142
2014,213031351,3012,1127
2014,213031352,3013,418
2014,213051361,3029,1649
2014,213051363,3027,75
2014,213051363,3028,996
2014,213051368,3030,2427
2014,214011370,3201,894
2014,214011371,3199,3311
2014,214011372,3200,518
2014,214011374,3910,357
2014,214011375,3198,758
2015,206011106,3057,232
2015,206011107,3052,636
2015,206011107,3055,283
2015,206011109,3044,543
2015,206011495,3056,1107
2015,206021110,3078,365
2015,206021112,3071,314
2015,206021500,3070,518
2015,206031115,3031,1243
2015,206031116,3039,623
2015,206031501,3041,382
2015,206031502,3040,601
2015,206041117,3053,458
2015,206041118,3008,769
2015,206041119,3002,436
2015,206041504,3000,1727
2015,206041506,3051,980
2015,206041509,3006,637
2015,206041510,3003,283
2015,206051128,3206,229
2015,206051129,3184,376
2015,206051130,3207,550
2015,206051134,3183,470
2015,206051511,3205,1114
2015,206051514,3004,1883
2015,206051514,3182,2520
2015,206061135,3143,173
2015,206061136,3181,1186
2015,206061138,3142,358
2015,206061515,3141,970
2015,206071139,3067,867
2015,206071140,3054,209
2015,206071141,3066,1290
2015,206071142,3065,1281
2015,206071143,3068,409
2015,206071518,3121,1865
2015,207011147,3103,307
2015,207011148,3104,189
2015,207011149,3124,336
2015,207011152,3123,127
2015,207011154,3102,87
2015,207011155,3126,69
2015,207011519,3122,336
2015,207011522,3101,386
2015,207021156,3105,337
2015,207021157,3108,494
2015,207021159,3106,216
2015,207021160,3107,177
2015,207021425,3109,248
2015,207031161,3130,487
2015,207031163,3128,823
2015,207031164,3129,167
2015,207031165,3125,371
2015,207031166,3151,119
2015,207031167,3127,229
2015,208011168,3193,210
2015,208011169,3186,433
2015,208011170,3187,193
2015,208011171,3190,395
2015,208011172,3188,701
2015,208011173,3191,243
2015,208021176,3163,542
2015,208021177,3161,226
2015,208021178,3162,384
2015,208021179,3185,350
2015,208021182,3204,657
2015,208021426,3165,423
2015,208031185,3197,548
2015,208031186,3196,685
2015,208031188,3192,613
2015,208031190,3194,353
2015,208031191,3189,609
2015,208031191,3202,85
2015,208031193,3195,1008
2015,208041194,3144,320
2015,208041194,3146,231
2015,208041195,3145,668
2015,209011197,3088,576
2015,209011199,3081,873
2015,209011200,3079,300
2015,209011201,3084,1030
2015,209011202,3093,79
2015,209011202,3094,118
2015,209011204,3087,282
2015,209021205,3085,286
2015,209021428,3072,1218
2015,209021524,3073,1431
2015,209031209,3095,395
2015,209031210,3099,112
2015,209031214,3113,111
2015,209031215,3089,263
2015,209041216,3083,831
2015,209041221,3082,774
2015,209041223,3074,707
2015,209041431,3076,945
2015,209041436,3752,457
2015,209041530,3075,516
2015,210011226,3042,661
2015,210011228,3036,148
2015,210011533,3033,374
2015,210011533,3034,176
2015,210031236,3058,1057
2015,210031237,3060,241
2015,210031535,3046,1002
2015,210051242,3047,1768
2015,210051243,3061,423
2015,210051245,3049,363
2015,210051247,3048,735
2015,210051250,3043,570
2015,210051544,3064,2079
2015,211011251,3153,788
2015,211011254,3179,171
2015,211011254,3180,267
2015,211011256,3178,737
2015,211011260,3152,1049
2015,211011446,3155,1137
2015,211011447,3156,889
2015,211011449,3154,98
2015,211021261,3111,121
2015,211021261,3114,48
2015,211031266,3134,1172
2015,211031267,3135,631
2015,211031450,3136,1382
2015,211041269,3131,494
2015,211041270,3132,249
2015,211041272,3133,254
2015,211051277,3137,373
2015,211051278,3140,910
2015,211051280,3765,131
2015,211051281,3138,638
2015,211051283,3796,191
2015,211051284,3158,146
2015,212021293,3806,756
2015,212021295,3177,849
2015,212021297,3803,464
2015,212021299,3804,133
2015,212021454,3802,598
2015,212021456,3805,1831
2015,212031300,3977,2819
2015,212031306,3975,363
2015,212031562,3976,650
2015,212041309,3167,296
2015,212041310,3169,549
2015,212041317,3171,978
2015,212041318,3172,555
2015,212041460,3174,2134
2015,212041563,3175,2985
2015,212041565,3173,492
2015,212051319,3147,369
2015,212051319,3148,236
2015,212051322,3150,674
2015,212051324,3149,430
2015,212051325,3170,710
2015,212051326,3166,762
2015,212051567,3168,605
2015,213011328,3020,2955
2015,213011328,3022,178
2015,213011331,3037,1022
2015,213011332,3038,589
2015,213011334,3021,2318
2015,213011569,3023,1854
2015,213011570,3026,287
2015,213021341,3018,548
2015,213021343,3025,605
2015,213021344,3015,533
2015,213021346,3016,584
2015,213031347,3019,641
2015,213031348,3011,1720
2015,213031349,3032,919
2015,213031351,3012,930
2015,213031352,3013,307
2015,213051361,3029,1808
2015,213051363,3027,112
2015,213051363,3028,1070
2015,213051368,3030,2213
2015,214011370,3201,997
2015,214011371,3199,2984
2015,214011372,3200,572
2015,214011374,3910,548
2015,214011375,3198,858
2016,206011106,3057,181
2016,206011107,3052,674
2016,206011107,3055,329
2016,206011109,3044,576
2016,206011495,3056,989
2016,206021110,3078,283
2016,206021112,3071,357
2016,206021500,3070,708
2016,206031115,3031,1133
2016,206031116,3039,598
2016,206031501,3041,406
2016,206031502,3040,506
2016,206041117,3053,739
2016,206041118,3008,748
2016,206041119,3002,548
2016,206041504,3000,1382
2016,206041506,3051,1219
2016,206041509,3006,747
2016,206041510,3003,452
2016,206051128,3206,249
2016,206051129,3184,397
2016,206051130,3207,628
2016,206051134,3183,769
